id,image_id,#日本語(原文),#やさしい日本語
17663,422391,馬にヘルメットをかぶった男性が乗っている,帽子の男が馬に乗る。
17901,253967,数人の男女が携帯電話を耳につけている,人が電話を耳につける。
17997,115146,部屋の中でWIIで遊ぶ4人家族,部屋の中で家族がゲームで遊ぶ。
18016,88983,SONYのテレビのリモコンを平行に撮った図,テレビの道具の写真がある。
18035,337814,クラスルームでWIIで遊ぶ男女二人,部屋の中で男と女がゲームで遊ぶ。
18122,416787,とろけたチョコが入っているシュガーのかかったドーナツがある,砂糖の菓子がある。
18156,101567,プールサイドに顎を乗せた昼寝をしている犬がいる,水の場所で犬が口をつけて寝る。
18175,334566,机の上に乗ったパソコンとその他の器具,机の上にコンピューターと道具がある。
18188,390841,年配の男性が釣り竿の針に餌をつけている,年の男が釣りの針に食べ物をつける。
18402,94745,白い靴を履いた青年がテニスをしている,白い靴の若い男がテニスをする。
18472,74860,ゲレンデの上でスノーボードをつけた男が座っている,雪の山で男が板をつけて座る。
18545,118846,頭のてっぺんに結んだちょんまげをハサミで切っておどけた顔をした男,男が頭の髪を切って笑う。
18584,34691,ネクタイを締めた犬と少年の後ろ姿,ネクタイの犬と少年の後ろが見える。
18634,208408,雨の中傘をさした人が歩道を歩いている,雨の中で傘をさした人が道を歩く。
19009,386707,キャノンのカメラ部品売り場の前に店員さんがいる,カメラの道具の店の前に人がいる。
19063,150358,サンタ帽をかぶった眼鏡をかけた男性が、シロクマのぬいぐるみとソファーに座っている,赤い帽子の男が眼鏡をかけて椅子に座る。動物の人形がある。
19296,375426,パンを触る手には手袋がつけられている,パンを触る手に手の道具がある。
19325,45920,一人の野球選手が芝生の上にグローブをはめて立っている,野球の選手が草の上で手の道具をつけて立っている。
19326,509822,自転車がカギで壁につられている,車が鍵で壁についている。
19556,301684,ゾウが地面にお尻をつけている,大きい動物が地に尻をつける。
19595,319275,降り積もった雪の道路で、スキー板をはいて楽しんでいる人がいる,雪の道路で人が板で楽しむ。
19640,391891,朝食とカメラのピントがズレている女性が座っている,朝食の食べ物とカメラの前に女が座る。
19657,206705,白い壁に消火器が取り付けられている,白い壁に火事を消す道具がある。
19805,503799,スケボーに乗っている男性はヘルメットをしている,板に乗っている男が帽子をかぶる。
19817,523274,ヘルメットをかぶった人が馬にまたがっている,帽子の人が馬に乗る。
19863,113678,犬が赤い帽子をかぶらされている,犬が赤い帽子をかぶる。
19981,402328,黒いヘルメットをかぶった男性2人がバイクにまたがっている,黒い帽子の男が二人でバイクに乗る。
20005,556505,黒い犬が鼻にたくさんの砂を付けている,黒い犬が鼻に砂をたくさんつける。
20008,440878,トイレに花柄のカバーがつけてある,トイレに花の布がある。
20010,188752,バナナの房に紐をつけてバナナをぶら下げて売っている,ロープでバナナをかけて売る。
20017,224594,人を乗せるためのベンチを付けたゾウが歩いている,大きい動物が椅子をつけて人を乗せて歩く。
20163,169802,バナナを頭につけている人が居る,人がバナナを頭につけている。
20208,68155,窓に白いカーテンがつけてある,窓に白い布がついてある。
20221,157084,鏡の下の壁にティッシュが取り付けられている,鏡の下の壁に紙がある。
20239,304357,リモコンの近くに猫が寝転がっている,道具の近くで猫が寝る。
20243,171546,黒い新しいスニーカーを履いた少年がスケートボードをしている,黒い靴の少年が板に乗っている。
20381,465180,沢山の象たちが川で水浴びをしているのを手伝っている人間が居る,大きい動物が川で水を体に当てて人が手伝う。
20387,477288,赤や黒の衣装を着た人達が黒い傘をさして歩いている,赤い服と黒い服の人が黒い傘をさして歩く。
20559,419223,スライディングをしている人がいる,人が地の上で滑る。
20938,218204,チューリップを生けた花瓶が複数テーブルにある,花の入った瓶が机の上にたくさんある。
20967,526892,裸足の男性がサーフボードの裏側の表面を加工している,男が板の裏の面を作る。
21028,283881,大きな犬のぬいぐるみにはNASAのシールが貼ってある,大きい犬の人形に文字のマークがある。
21079,143387,雪山を赤いコートと白いヘルメットをかぶった人がスキーで下っている,赤いコートの人が白い帽子で雪山を板で下る。
21158,166165,白いテニスウエアで白いスニーカーを履いた女性テニスプレイヤーがいる,白い服と白い靴の女がテニスをする。
21205,119995,白に黒のマークが入ったスニーカーを履いた男性テニスプレーヤーがいる,白い靴に黒いマークの男がテニスをする。
21502,160963,ピンクの傘をさしているツインテールの女の子,ピンクの傘の女の子。髪が左と右にある。
21504,125806,黒い牛がもう一頭の牛の耳に鼻をつけている,黒い牛がもう一頭の牛の耳に鼻をつけている。
21594,279895,荷物を床に置いて気を付けをして話を聴いている,荷物を床に置いて立って話を聞く。
21625,143445,首から名札をぶら下げてワインを飲んでいる女性がいる,首に名前をつけた女が酒を飲む。
21629,430052,空き瓶にラインストーンでデコレーションした花瓶がある,空の瓶に綺麗な石がついている。花を入れるものがある。
21736,174902,標識にたくさんのシールが貼られている,看板に紙がたくさんある。
21777,89487,二人の男性がネクタイと同柄のコサージュをつけている,男が二人でネクタイと同じ花をつける。
21804,306061,ピンクのジーンズを履いた少年がスケートボードにのっている,ピンクのズボンの少年が板に乗る。
21854,118417,パンにフルーツが添えられている,パンに果物がある。
22044,345361,とんがり帽子をかぶった4人の子供がケーキを食べている,とんがり帽子の子供がケーキを食べる。
22139,4972,中世の鎧をまとった男が座っている,昔の戦う服の男が座る。
22167,468736,マカロニとひき肉のあえ物にブロッコリーが添えられている,食べ物に肉と野菜がある。
22182,183716,同じネクタイを付けた女の子が並んでいる,同じネクタイを付けた女の子が並んでいる。
22283,186165,キッチンに置かれているストーブと冷蔵庫,料理をする場所にあたたかい道具と冷たい箱がある。
22344,540869,黒いヘルメットをかぶった女性がバイクに乗っている,黒い帽子の女がバイクに乗る。
22534,169885,男性2人がピザとビールを食している,男が二人で食べ物を食べてビールを飲む。
22536,267844,窓に緑のチェックのカーテンがつけられている,窓に緑のカーテンがある。
22785,242907,便器の後ろの壁にたくさんのポストカードが貼られている,トイレの後ろの壁に紙がたくさんある。
22887,326217,船の上で果実を販売する女性達がいる,船の上で女が果物を売る。
22907,349642,赤いマフラーをしてベンチに座っている女性の後ろには犬が休んでいる,赤い首の布の女が椅子に座る。後ろに犬が休む。
22924,495053,大きい窓にブラインドを下げている建物がある,大きい窓にカーテンのある建物がある。
22937,289938,露天のホットドックの屋台がある,外の店で熱い食べ物を売る。
23092,227901,パソコンを使っている女性はイヤホンを付けている,女性がコンピューターを使ってイヤホンをつける。
23175,533536,ピンクの首輪をつけた猫が、テレビを見ている,ピンクの布を首に巻いた猫がテレビを見る。
23179,221561,ピンクのマフラーをまとった白いくまの人形,白い動物の人形にピンクの首の布がある。
23551,282287,人間のように靴下をはいた犬が居る,犬が靴下を身に付ける。
23678,384496,2頭の馬が耕しす機械をつけて歩いている,馬が機械をつけて歩く。
23824,96638,ゴーグルをした男性が、スノーボードをつけて雪の上に座っている,眼鏡の男が雪の上で板をつけて座る。
23974,108056,ニット帽をかぶった一人の男性がスケートボードをしている,帽子をかぶった男が板に乗っている。
24083,417980,赤いマントを付けた青いマスクをつけた人物がいる,赤い服の人物が青い物で顔を隠す。
24224,488086,ジーパンを履いて地べたに座ってパソコンをおいて壁にもたれた男性がいる,ズボンの男が地の上に座ってコンピューターを置く。壁に体をつける。
24232,246782,土の上で裸足の人たちがサッカーをしている,土の上で人がボールで運動をする。
24365,309678,パイシートにトマトソースが塗られている,パイにトマトの物がある。
24550,297299,無造作につけられたネクタイが独特である,ネクタイが特別である。
24972,45564,波打ち際で波と戯れ居ているカモメが沢山居る,海岸に鳥がたくさんいる。
24987,551550,2種類の植物が水に塗れて光っている,植物が水で濡れている。
24988,402765,wiiのリモコンが置かれている,ゲームの道具が置かれている。
25038,461156,首輪をつけた犬が木製の椅子に座っている,犬が首にロープをつけて椅子に座る。
25165,53626,スキー板をつけている3人の人と、1人の人が立っている,板をつけた人々がいる。そばに立つ人がいる。
25326,500878,ブロッコリーと肉に香辛料をのせて焼いた料理である,肉と野菜の焼いた食べ物がある。
25398,526342,店頭にペプシの自動販売機が置かれている,店の前に飲み物の機械がある。
25414,157928,帽子をかぶった男性がそりに荷物やスキー板を乗せている,帽子の男が雪の道具を引く。荷物と板がある。
25501,70527,肉料理に取り分け用のフォークが添えられている,肉の食べ物にフォークがある。
25530,19402,フードをかぶった二人の人がいる,帽子の人が二人いる。
25552,546160,白い傘をさした人々が列になって並んでいる,白い傘の人々が並ぶ。
25582,282296,GENERAL ELECTRICのエンブレムが付いた冷蔵庫のようなもの,食品を冷たくする機械にマークがついている。
25615,174902,標識に複数のシールが貼られている,看板に紙がいくつかある。
25632,426795,長髪の男性が大きなパンをほおばっている,長い髪の男が大きなパンを食べる。
25702,517821,ぬいぐるみの頭に花飾りがされている,人形の頭に花がある。
25803,172087,パーカーの男性がネクタイをしめている,男がネクタイをする。
25808,172087,パーカー姿の男性がネクタイをしめている,男がネクタイをする。
25827,493544,帽子をかぶった人がスキーをしている,帽子の人が雪の上で板で滑る。
25922,405973,ウィーリモコンで対戦ゲームをしている男性二人がいる,男が二人でゲームをしている。
25936,239260,帽子をかぶった男の子が砂浜でボードの上に立っている,帽子の少年が砂の海岸で板の上に立つ。
26259,226984,冷蔵庫にはたくさんのメモが貼られている,冷たい箱に記録がたくさんある。
26509,381323,首輪をつけた猫が洗面台の上に座っている,猫が首にロープをつけて台の上に座る。
26512,321971,ワインセラーの試飲テーブルの前で男女が立っている,酒の店の机の前で男と女が立つ。
26697,476119,フルフェイスのヘルメットをかぶったスケートボーダーだ,顔を隠す帽子の人が板に乗る。
26719,21088,車窓からとられたであろう羊たち,車の中から動物の写真を撮る。
26814,14756,喫煙をしている男性の手には木製のバットがある,煙草の男の手に道具がある。
26906,223033,ホットドックにハラペーニョソースが塗られている,パンに味の物がある。
26914,233075,壁の磁石に包丁がたくさんくっつけてある,壁にナイフがたくさんある。
26962,535977,角に据え付けられたIHコンロとオーブン,角に火の道具と熱い道具がある。
27127,407717,バナナの間からオレンジが顔を覗かしている,バナナの間からオレンジが見える。
27282,56350,壁面パネルには人々のデザインを取り入れている,壁に人の絵がある。
27285,334185,スキーの板をはいた二人の男性が雪の上に立っている,雪の上に板の男が二人立つ。
27375,280976,外野でグローブをはめた男性が構えている,外で男が野球の道具を持つ。
27393,293888,イヤフォンとマイクをつけた男性がいる,イヤホンをつけた男がいる。
27438,570077,フリスビーをくわえた犬がもう一匹の犬を追っている,犬が道具を口に入れて犬を追う。
27490,505371,くまのぬいぐるみに長靴とヘルメットがつけられている,動物の人形に長い靴と帽子がある。
27506,468902,動物同士が芝生の上で戯れている,芝生の上で動物が遊ぶ。
27585,213547,バースデーケーキにはローソクの火が灯されている,ケーキにろうそくの火がある。
27637,117222,男性が山盛りのバナナを自転車に載せて運んでいる,男がたくさんのバナナを車で運ぶ。
27650,519112,動物が何か自分の脚をなめているようだ,動物が自分の足を口に入れる。
27777,177952,アイパッチをしてVサインの両手を上げ下げしている男性,目を保護する物の男が右と左の手を上げる。
27949,405778,シマウマたちが牧草を食べている,白と黒の動物が草を食べる。
28049,367666,携帯電話がホルダーにつけられている,小さい電話がケースにつく。
28258,286010,屋外の消火栓から水が流れ出ている,外に火事を消す道具がある。水が出る。
28514,555048,ショールームに設置されている、居間のセット,店に部屋のセットがある。
28696,434786,男性が煙草をくわえながらネクタイをゆるめている,男が煙草を口に入れる。ネクタイを持つ。
28736,483849,窓辺にチューリップを生けた花瓶がある,窓の近くに花の入った瓶がある。
28793,118237,同じカーテンを吊った別々の部屋の写真がある,同じカーテンの部屋の写真がある。
28809,281977,投げられたフリスピーを口でキャッチした瞬間,投げられた道具を口で取る。
28812,27578,赤い服を着た女性が持ったバースデーケーキに挿してあるローソクに眼鏡の男性が火を点けている,赤い服の女がケーキを持つ。眼鏡の男がろうそくに火をつける。
28971,322194,川辺に赤い傘をさした人が立っている,川のそばに赤い傘の人が立つ。
28986,473299,ゴーグルをつけた人がスノーボードをしている,眼鏡の人が雪の上で板で滑る。
29078,556183,ブロッコリーとマッシュルームのカルボナーラ,野菜ときのこの食べ物がある。
29101,229358,男性が香水をつけてどこかへ出かけようとしている,男が体に物をつけて出かける。
29119,506310,空っぽの冷蔵庫と見せかけて、実は抜け道,冷たい箱のように見える。中に道がある。
29247,195889,猫がベッドで布団を被って寝ている,猫がベッドで毛布の下で寝る。
29468,308715,木の板の上にシルバーの携帯電話とイヤフォンを挿したオーディオプレーヤーが載っている,板の上に電話と音の機械がある。音の機械にイヤホンがつく。
29473,505133,コンロの上に鍋と食べ物とティーが置かれている,火の道具の上に鍋と食べ物と茶がある。
29875,364592,緑の服を着た男の人と帽子をかぶった男の人がフリスビーをしている,緑の服の男と帽子の男が道具を投げる。
30167,145015,ダブルサイズのベッドにベッドカバーが取り付けられている,大きいベッドに布がつく。
30218,366759,大きな時計が取り付けられている建物である,大きい時計のある建物である。
30484,180487,男性がユニークな日傘を頭につけている,男が傘を頭につける。
30596,10785,ピンクのリボンをつけた女の子がブロッコリーを食べている,ピンクの布の女の子が野菜を食べる。
30704,185838,キャップをかぶった男性の体が宙に浮いてる,帽子の男の体が空に浮かぶ。
30729,371256,青いオウムが自分の足を嘴でくわえている,青い鳥が自分の足を口に入れる。
30818,267709,スキー場で大きく手を広げている男性がいる,雪の場所で男が手を広げる。
30948,263288,赤い持ち手のハサミとピンと画鋲,赤い切る道具と小さい物がある。
30961,105668,女性がWiiリモコンを握りしめている,女がゲームの道具をしっかり持つ。
31029,296907,サンタクロースの帽子をかぶった猫が目を閉じている,赤い帽子の猫が目を閉じる。
31064,361819,スキーの板を履いたまま坂道を上っている,板をつけた人が坂を上がる。
31196,41199,波止場で帽子をかぶった人が海を見ている,海岸で帽子の人が海を見る。
31250,458275,サングラスと白い帽子をかぶった男性がいる,眼鏡と白い帽子の男がいる。
31309,145604,バナナがたくさん乗った台を男が押している,男が台を押す。台にバナナがたくさんある。
31354,363986,手前のテーブルに名付けられたテーブル名はJamaicaである,机に名前の文字がある。
31364,481628,8羽の白鳥のうち3羽の白鳥が頭を水の中に沈めている,白い鳥が水の中に頭をつける。
31432,217509,STOP標識の下に裸足の少年がいる,止まる看板の下に少年がいる。
31507,235200,三頭のシマウマが頭をくっつけている,白と黒の動物が頭をつける。
31646,389206,白シャツ姿の男の子は小さな帽子を被っている,白い服の少年が小さい帽子をつける。
31713,207913,キリン達が高い所に置いた草を食べている,首が長い動物が高い所の草を食べている。
31778,10793,ペイントされた赤い電車が7番ホームにいる,赤い電車が止まる。
31858,442746,スカートをはいた女性がフリスビーを投げようとしている,スカートの女が道具を投げる。
31966,325568,バッターボックスの選手が打球を打とうとしている,野球の選手がボールを打つ準備をする。
31995,401926,スーツを着た少年が黒い帽子を被っている,黒い帽子の少年がいる。
32029,363319,動物園のキリンが木に吊り下げられた餌を食べている,首が長い動物が木の上の食べ物を食べる。
32299,512657,家族でwiiゲームを楽しんでいる,家族がゲームを楽しむ。
32642,565853,男性がテレビにリモコンをむけている後ろ姿,男がテレビに道具を向ける。男の背が見える。
32679,390585,熊さんが印刷されたピンクのTシャツを着用した外国人の女の子がサングラスをしてテニスをしているところだ,ピンクの服の女の子が眼鏡でテニスをする。
32982,151922,女の子が歩く姿にかたどられた青信号,歩く女の子の姿の青い信号。
33032,473728,パーキングメーターの一つに袋をかぶせている,道具の上に袋がある。
33099,279674,子供がエプロンをつけてテーブルの前にいる,子供が布をつけて机の前にいる。
33430,11340,顔や体にペイントされた象の上に、男の人が乗っている,大きい動物の上に男が乗る。
33456,36051,髪を縛った女性がテニスをしている,女がテニスをする。
